MJD,X,XE,O,OE
54269.3147201962 ,-23.3520813000 ,28.5710506000 ,19961.1917887717 ,796.0723366676 
54269.3147207708 ,16.9548950000 ,40.3563004000 ,18951.4775284611 ,751.8378036106 
54269.3147213450 ,57.2618790000 ,49.4060478000 ,19286.4486569943 ,804.2265645370 
54269.3147219196 ,37.1083908000 ,45.1086960000 ,17618.8189336457 ,745.7971079271 
54269.3147224937 ,-43.5055695000 ,20.2519569000 ,18694.0733771890 ,795.0651311165 
54269.3147230679 ,77.4153595000 ,53.3584175000 ,17104.0376990778 ,759.2902634346 
54269.3147236425 ,137.8758392000 ,63.7621346000 ,17733.1958979904 ,757.8670415428 
54269.3147242167 ,37.1083908000 ,45.1086960000 ,16442.9811204229 ,741.5505115497 
54269.3147247908 ,-43.5055695000 ,20.2519569000 ,16081.6986885344 ,700.0918302244 
54269.3147253654 ,37.1083908000 ,45.1086960000 ,19676.4686672073 ,800.2617211859 
54269.3147259396 ,57.2618790000 ,49.4060478000 ,18159.1388038809 ,766.5513249827 
54269.3147265138 ,-3.1985893000 ,34.9638100000 ,17365.7641140248 ,748.4843735544 
54269.3147270884 ,16.9548950000 ,40.3563004000 ,18699.6506106755 ,795.7459829984 
54269.3147276625 ,57.2618790000 ,49.4060478000 ,17696.3207016911 ,770.2586380703 
54269.3147282367 ,77.4153595000 ,53.3584175000 ,17606.6986320627 ,768.2386903367 
54269.3147288108 ,57.2618790000 ,49.4060478000 ,17240.9019999399 ,754.5530599862 
54269.3147293850 ,77.4153595000 ,53.3584175000 ,16148.5221399176 ,717.9498507104 
54269.3147299591 ,57.2618790000 ,49.4060478000 ,15972.6381208134 ,696.3054663423 
54269.3147305338 ,57.2618790000 ,49.4060478000 ,16349.8832765612 ,713.7301685140 
54269.3147311079 ,57.2618790000 ,49.4060478000 ,17897.4000853083 ,771.5619765102 
54269.3147316821 ,97.5688477000 ,57.0375633000 ,16537.7288804782 ,741.3419650957 
54269.3147322567 ,117.7223358000 ,60.4933624000 ,16850.7060478808 ,736.6890414827 
54269.3147328308 ,218.4897766000 ,75.4338226000 ,16562.7987480099 ,739.9323540897 
54269.3147334055 ,37.1083908000 ,45.1086960000 ,19231.7061355922 ,792.6693845183 
54269.3147339796 ,77.4153595000 ,53.3584175000 ,17414.2502418070 ,754.5362962963 
54269.3147345538 ,117.7223358000 ,60.4933624000 ,17322.4565822594 ,755.2263758974 
54269.3147351279 ,-3.1985893000 ,34.9638100000 ,16192.5395908804 ,714.6411750924 
54269.3147357025 ,77.4153595000 ,53.3584175000 ,19610.9112588988 ,791.9962993001 
54269.3147362767 ,37.1083908000 ,45.1086960000 ,17186.9690571025 ,759.7216593073 
54269.3147368513 ,57.2618790000 ,49.4060478000 ,15784.2966807845 ,698.6050139677 
54269.3147374255 ,97.5688477000 ,57.0375633000 ,15104.6001093388 ,707.6091147758 
54269.3147379996 ,97.5688477000 ,57.0375633000 ,13896.7396497551 ,669.3614490403 
54269.3147385742 ,77.4153595000 ,53.3584175000 ,15613.2750545192 ,728.6498525127 
54269.3147391484 ,117.7223358000 ,60.4933624000 ,14209.7524976720 ,692.2170484515 
54269.3147397225 ,97.5688477000 ,57.0375633000 ,16266.3871821212 ,736.0699384218 
54269.3147402972 ,57.2618790000 ,49.4060478000 ,15747.1914066864 ,724.4680808627 
54269.3147408713 ,57.2618790000 ,49.4060478000 ,15139.9213577243 ,720.0280099727 
54269.3147414459 ,77.4153595000 ,53.3584175000 ,14686.3666552521 ,694.8977008801 
54269.3147420201 ,-23.3520813000 ,28.5710506000 ,15034.3857787389 ,715.8881475474 
