          MJD                     X              XE                 O                    OE                
   54269.3147201962419786    -23.3520813     28.5710506   19961.1917887717390840     796.0723366675678108
   54269.3147207708607311     16.9548950     40.3563004   18951.4775284611459938     751.8378036105854108
   54269.3147213450065465     57.2618790     49.4060478   19286.4486569943837821     804.2265645369619733
   54269.3147219196325750     37.1083908     45.1086960   17618.8189336457289755     745.7971079270673727
   54269.3147224937929423    -43.5055695     20.2519569   18694.0733771890299977     795.0651311165179322
   54269.3147230679387576     77.4153595     53.3584175   17104.0376990778277104     759.2902634345618935
   54269.3147236425575102    137.8758392     63.7621346   17733.1958979904484295     757.8670415427593525
   54269.3147242167178774     37.1083908     45.1086960   16442.9811204229372379     741.5505115496680446
   54269.3147247908782447    -43.5055695     20.2519569   16081.6986885344394977     700.0918302243849212
   54269.3147253654824453     37.1083908     45.1086960   19676.4686672073548834     800.2617211859061399
   54269.3147259396428126     57.2618790     49.4060478   18159.1388038809272985     766.5513249827280333
   54269.3147265138031798     -3.1985893     34.9638100   17365.7641140248124429     748.4843735544141055
   54269.3147270884073805     16.9548950     40.3563004   18699.6506106755587098     795.7459829984079533
   54269.3147276625604718     57.2618790     49.4060478   17696.3207016911474057     770.2586380703493205
   54269.3147282367208390     77.4153595     53.3584175   17606.6986320627183886     768.2386903367277000
   54269.3147288108812063     57.2618790     49.4060478   17240.9019999399242806     754.5530599861824612
   54269.3147293850270216     77.4153595     53.3584175   16148.5221399176953128     717.9498507104021883
   54269.3147299591873889     57.2618790     49.4060478   15972.6381208134334884     696.3054663422547037
   54269.3147305338134174     57.2618790     49.4060478   16349.8832765612332878     713.7301685140128029
   54269.3147311079519568     57.2618790     49.4060478   17897.4000853083416587     771.5619765101679377
   54269.3147316821123241     97.5688477     57.0375633   16537.7288804782074294     741.3419650956715259
   54269.3147322567165247    117.7223358     60.4933624   16850.7060478808089101     736.6890414826830238
   54269.3147328308768920    218.4897766     75.4338226   16562.7987480099727691     739.9323540896939448
   54269.3147334055174724     37.1083908     45.1086960   19231.7061355922014627     792.6693845183382336
   54269.3147339796632878     77.4153595     53.3584175   17414.2502418070944259     754.5362962962963138
   54269.3147345538163790    117.7223358     60.4933624   17322.4565822594704514     755.2263758973896302
   54269.3147351279694703     -3.1985893     34.9638100   16192.5395908804184728     714.6411750923673480
   54269.3147357025882229     77.4153595     53.3584175   19610.9112588988027710     791.9962993001111045
   54269.3147362767413142     37.1083908     45.1086960   17186.9690571025203099     759.7216593073203512
   54269.3147368513600668     57.2618790     49.4060478   15784.2966807845969015     698.6050139677390689
   54269.3147374255131581     97.5688477     57.0375633   15104.6001093388604204     707.6091147757651925
   54269.3147379996735253     97.5688477     57.0375633   13896.7396497551890207     669.3614490402811725
   54269.3147385742922779     77.4153595     53.3584175   15613.2750545192393474     728.6498525126911545
   54269.3147391484526452    117.7223358     60.4933624   14209.7524976720433187     692.2170484515334010
   54269.3147397225911845     97.5688477     57.0375633   16266.3871821212942450     736.0699384217956549
   54269.3147402972172131     57.2618790     49.4060478   15747.1914066864919732     724.4680808626956150
   54269.3147408713630284     57.2618790     49.4060478   15139.9213577243099280     720.0280099726652452
   54269.3147414459890570     77.4153595     53.3584175   14686.3666552521699487     694.8977008801177817
   54269.3147420201494242    -23.3520813     28.5710506   15034.3857787389988516     715.8881475473851879
   54269.3147425943025155     97.5688477     57.0375633   17271.1467724009489757     737.7557658225946398
   54269.3147431684628827     77.4153595     53.3584175   16108.7383665254874359     716.7426343456189670
   54269.3147437430670834     37.1083908     45.1086960   16220.7013595265980257     747.2197915352497830
   54269.3147443172274507     77.4153595     53.3584175   18271.0476609293800720     790.8503703703703422
   54269.3147448918389273     16.9548950     40.3563004   16641.7461920639216260     746.4177489411553097
   54269.3147454659992945     77.4153595     53.3584175   16658.6845934336597566     732.7523426751974966
   54269.3147460401523858     37.1083908     45.1086960   16205.5666696704811329     721.5089051094890920
   54269.3147466147711384     37.1083908     45.1086960   18111.5299246042486629     760.1658970893033711
   54269.3147471889169537    117.7223358     60.4933624   18831.1210020726321090     783.6911213240815641
   54269.3147477635502582     97.5688477     57.0375633   21783.1089772010454908     838.9169445195398112
   54269.3147483377106255     77.4153595     53.3584175   19863.1724946682297741     793.2861037517646992
   54269.3147489118564408     77.4153595     53.3584175   19365.0823585954167356     786.2678850139677706
   54269.3147494864824694     77.4153595     53.3584175   19870.7995121804706287     790.2111201225555988
   54269.3147500606282847     97.5688477     57.0375633   20936.2602697425718361     815.0638286624013062
   54269.3147506347886520     57.2618790     49.4060478   19028.0762103871929867     792.0452831095491320
   54269.3147512093928526     77.4153595     53.3584175   21014.7032651467379765     816.6745270493527187
   54269.3147517835532199     -3.1985893     34.9638100   20387.9258177885931218     802.0979604097203719
   54269.3147523577135871    137.8758392     63.7621346   20602.0679607101010333     809.6438508906311426
   54269.3147529323323397     77.4153595     53.3584175   23263.6559214202025032     852.2802967769066527
   54269.3147535064781550     37.1083908     45.1086960   26318.5132798654303770     925.3214622570665142
   54269.3147540806385223     57.2618790     49.4060478   23089.1093064191518351     853.0766489441590466
   54269.3147546552572749    117.7223358     60.4933624   23512.0907296266268531     868.8182920308792063
   54269.3147552294103662    218.4897766     75.4338226   24411.2396888047805987     871.8159935117599844
   54269.3147558040363947     97.5688477     57.0375633   25189.3135898591208388     904.4701234567901338
   54269.3147563781822100    117.7223358     60.4933624   26421.9055672704344033     911.0106539304916851
   54269.3147569523498532    117.7223358     60.4933624   23969.2836141900224902     872.6781700759964906
   54269.3147575269613299    117.7223358     60.4933624   24953.6056519780104281     900.8224060556907489
   54269.3147581011071452    178.1828156     69.8422241   22151.8658616442880884     849.9983587155687701
   54269.3147586752675124    -23.3520813     28.5710506   20381.3519906280962459     803.4333651737706532
   54269.3147592498935410     97.5688477     57.0375633   20516.6475792256169370     806.0744922051004551
   54269.3147598240320804     77.4153595     53.3584175   20991.3559051996016933     825.9287759454507523
   54269.3147603981924476     77.4153595     53.3584175   21950.1405376828588487     839.7838118410380730
   54269.3147609727966483    158.0293274     66.8713150   22500.1372094560101687     830.0647165900693381
